Ticker,Sector,CurrentPrice,Min52w,Max52w,DistanceFromMin,RSI,Estado,Classification,DataPoints,AnalysisDate,FileDate,DaysAgo,BaseScore,FinalScore,InsiderActivity,InsiderTrades,InsiderValue,InsiderTickers,Signals,Urgency,RiskLevel,MappingCoverage
DJUSAV,Dow Jones U.S. Media Agencies Index,376.18,346.44,656.63,8.584459069391528,28.749999999999982,🟢,OPORTUNIDAD,251,2026-01-07 07:51:13,2026-01-07,0,97,97,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCP,Dow Jones U.S. Containers & Packaging Index,432.19,388.62,514.38,11.2114662137821,23.141891891891845,🟡,CERCA,251,2026-01-07 07:51:13,2026-01-07,0,87,87,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSCC,Dow Jones U.S. Commodity Chemicals Index,682.74,608.9,794.88,12.126786007554614,17.19769673704404,🟡,CERCA,250,2026-01-07 07:51:13,2026-01-07,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSRN,Dow Jones U.S. Residential REITs Index,217.92,206.56,263.03,5.499612703330744,41.879699248120325,🟢,OPORTUNIDAD,250,2026-01-07 07:51:13,2026-01-07,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSRP,Dow Jones U.S. Recreational Products Index,291.0,274.92,429.99,5.8489742470536825,48.17073170731708,🟢,OPORTUNIDAD,250,2026-01-07 07:51:13,2026-01-07,0,86,86,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFA,Dow Jones U.S. Financial Administration Index,495.08,457.18,683.09,8.289951441445377,47.19937328632985,🟢,OPORTUNIDAD,251,2026-01-07 07:51:13,2026-01-07,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSIS,Dow Jones U.S. Support Services Index,806.98,748.64,949.87,7.792797606326142,40.087110824326544,🟢,OPORTUNIDAD,250,2026-01-07 07:51:13,2026-01-07,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSIB,Dow Jones U.S. Insurance Brokers Index,703.3,658.66,891.38,6.777396532353565,46.27450980392161,🟢,OPORTUNIDAD,251,2026-01-07 07:51:13,2026-01-07,0,85,85,False,0,0,[],[],CRÍTICA,BAJO,0
DJUSFR,Dow Jones U.S. Forestry & Paper Index,815.34,703.58,886.08,15.884476534296027,15.271966527196495,🟡,CERCA,251,2026-01-07 07:51:13,2026-01-07,0,85,85,False,0,0,[],[],ALTA,BAJO,0
DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,2397.4,2083.0,2541.8,15.093614978396548,23.70325693606728,🟡,CERCA,251,2026-01-07 07:51:13,2026-01-07,0,85,85,False,0,0,[],[],ALTA,BAJO,0
