Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies,USA,NYSE,S&P 500,33.05,6.37,0.64%,71.80M,0.72%,15.12B,29.58,7.11,0.00%,71.39M,-1.41%,467.20M,5.20,1.52,97.82%,3.15%,-5.44%,2.90B,5.22,-6.81%,-0.61%,2.53,-33.52%,37.37,5.63,13.09%,12.94%,2.25M,-36.54%,5.63,37.41,6.36%,17.42%,187.43,352.33,-35.75%,0.51 (0.24%),49.27,15.84%,15.74%,-40.27%,1.09,0.83 (0.39%),2.03,10.11%,34.66%,12.29%,6.43,"Jul 30, 2025",2.77,-16.35%,20.64%,47.61,1.71%,2.10%,10600,0.11,-1.14%,16.13%,1.44,274.50,Yes / Yes,0.11,-20.73%,12.27%,0.65,211.39,1.80%,18.13%,0.42%,Apr 24 BMO,887.88K,210.46,-0.65%,-1.60%,-24.72%,"

","582,574",-0.44%,WST,0.0
Cheniere Energy Inc,Energy,Oil & Gas Midstream,USA,NYSE,-,16.94,13.69,0.91%,222.80M,1.09%,51.41B,16.93,13.69,-1.58%,219.76M,-2.53%,3.10B,-,2.56,90.41%,1.79%,5.40%,16.88B,3.05,-18.85%,-0.82%,1.95,4.14%,25.05,9.25,18.82%,7.18%,3.94M,47.67%,12.93,17.93,-1.05%,63.13%,153.03,257.65,7.88%,2.10 (0.90%),16.24,41.41%,9.95%,-10.03%,0.42,1.94 (0.83%),1.06,23.61%,31.96%,51.48%,5.58,"May 09, 2025",1.19,-33.56%,29.26%,50.94,0.83%,1.06%,1714,4.71,-2.16%,18.38%,1.54,260.65,Yes / Yes,4.59,-26.26%,12.72%,1.02,233.62,9.96%,-42.81%,26.11%,May 08 BMO,2.02M,231.81,-0.59%,1.38%,9.79%,"

","2,069,421",-0.77%,LNG,-0.0158
Diageo plc ADR,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,NYSE,-,16.98,6.46,0.03%,555.57M,-3.77%,60.92B,16.23,6.76,0.00%,555.38M,-1.13%,3.60B,121.31,-,10.17%,0.14%,0.93%,20.22B,3.01,-10.26%,-7.44%,0.72,-8.69%,18.53,5.92,5.05%,7.68%,0.76M,-19.85%,3.59,30.52,0.14%,35.83%,100.72,142.73,-13.75%,4.12 (3.75%),22.37,0.50%,12.19%,-23.18%,0.58,4.14 (3.77%),0.67,4.66%,60.45%,8.87%,1.94,"Feb 28, 2025",1.60,-8.89%,28.74%,43.84,1.58%,1.27%,30092,2.11,-1.21%,17.79%,2.38,130.57,Yes / Yes,1.87,-11.77%,59.39%,0.67,108.08,1.43%,-7.99%,-0.64%,Feb 04 BMO,1.06M,109.65,-2.92%,-0.12%,-8.93%,"

","708,887",1.45%,DEO,0.0
Linde Plc,Basic Materials,Specialty Chemicals,United Kingdom,NASD,"NDX, S&P 500",33.68,13.78,0.75%,471.29M,1.88%,218.45B,25.90,17.92,-0.96%,467.21M,3.00%,6.61B,4.13,4.02,83.79%,1.16%,0.83%,33.02B,6.62,5.76%,-1.45%,2.35,2.04%,80.70,5.75,9.23%,8.11%,5.40M,6.55%,11.25,41.26,8.15%,17.20%,408.65,487.49,10.85%,6.00 (1.29%),44.48,26.58%,11.88%,-4.80%,0.98,5.67 (1.22%),0.80,3.36%,36.93%,13.56%,7.77,"Jun 04, 2025",0.94,6.75%,26.59%,57.58,1.29%,1.00%,65289,0.63,0.78%,20.02%,1.83,500.71,Yes / Yes,0.46,4.84%,40.83%,0.56,462.51,-1.56%,0.67%,0.15%,May 01 BMO,2.30M,464.08,1.89%,2.46%,1.96%,"

","1,306,844",0.34%,LIN,-0.0096
Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,NYSE,-,50.67,9.45,29.26%,178.20M,-3.45%,85.36B,41.64,11.50,0.00%,126.06M,3.52%,1.70B,3.91,2.64,39.02%,1.68%,4.02%,7.39B,11.56,14.49%,4.15%,4.50,9.46%,21.64,22.14,14.42%,16.94%,2.11M,15.10%,11.90,40.25,12.95%,45.95%,391.54,509.13,12.75%,3.33 (0.69%),45.94,17.04%,28.14%,-5.91%,1.11,3.41 (0.71%),1.67,12.01%,50.50%,22.34%,8.50,"Apr 23, 2025",2.11,20.74%,28.98%,52.37,2.15%,1.16%,5435,0.93,11.21%,22.99%,2.09,511.67,Yes / Yes,0.56,14.64%,35.27%,0.49,475.40,3.03%,3.87%,9.58%,May 06 BMO,469.24K,479.02,-0.97%,5.36%,5.08%,"

","231,196",0.76%,RACE,0.0
Lam Research Corp,Technology,Semiconductor Equipment & Materials,USA,NASD,"NDX, S&P 500",23.45,3.59,0.46%,1.28B,1.65%,107.65B,20.92,4.02,-1.84%,1.27B,18.70%,4.66B,1.49,1.19,83.86%,2.17%,10.49%,17.14B,6.28,32.40%,0.70%,2.23,15.86%,7.41,11.35,0.27%,24.36%,27.59M,-13.29%,4.26,19.75,15.70%,53.14%,56.32,113.00,16.52%,0.91 (1.08%),28.38,16.17%,35.18%,-25.52%,1.68,0.89 (1.06%),1.64,10.85%,48.05%,49.43%,2.65,"Jun 18, 2025",2.45,31.89%,30.88%,64.67,2.21%,2.51%,17450,0.47,20.33%,27.19%,1.55,90.65,Yes / Yes,0.39,40.66%,27.59%,0.66,84.00,1.67%,3.90%,24.43%,Apr 23 AMC,12.35M,84.16,4.75%,13.64%,9.23%,"

","8,239,828",0.19%,LRCX,-0.0184
Koninklijke Philips N.V. ADR,Healthcare,Medical Devices,Netherlands,NYSE,-,-,-0.82,0.10%,925.08M,-2.01%,21.24B,13.33,1.72,0.00%,924.11M,-8.27%,-759.02M,-,0.32,6.26%,0.40%,-11.79%,19.49B,1.09,7.40%,-5.53%,3.65,-13.00%,13.66,1.68,10.65%,-2.88%,3.72M,-14.90%,1.39,16.48,10.82%,-7.07%,21.48,32.91,-9.32%,0.96 (4.20%),15.67,-,-3.75%,-30.23%,0.75,0.89 (3.86%),0.79,-2.05%,43.13%,6.90%,0.55,"May 13, 2025",1.28,-55.03%,7.13%,40.45,1.91%,2.14%,67823,0.65,-0.76%,-3.89%,2.27,29.00,Yes / Yes,0.60,-,-,1.02,22.93,6.81%,38.07%,-3.99%,May 06 BMO,1.02M,22.96,-4.35%,-5.32%,-15.19%,"

","1,040,997",0.13%,PHG,0.0
"Teradyne, Inc",Technology,Semiconductor Equipment & Materials,USA,NASD,S&P 500,22.92,3.53,0.28%,160.67M,2.53%,12.99B,17.91,4.52,-4.46%,159.97M,8.13%,577.07M,1.14,0.54,98.89%,4.48%,-25.58%,2.90B,4.47,-0.68%,-2.48%,1.97,-25.16%,17.41,4.65,41.35%,16.22%,7.16M,-43.77%,3.17,25.58,20.11%,21.55%,65.77,163.21,-35.69%,0.50 (0.62%),21.35,4.98%,20.26%,-50.38%,1.70,0.48 (0.59%),1.61,5.98%,59.13%,23.13%,2.99,"May 22, 2025",2.70,28.34%,21.01%,52.93,3.72%,2.61%,6500,0.02,9.61%,19.87%,2.05,94.23,Yes / Yes,0.02,54.40%,14.45%,0.49,80.25,0.76%,21.20%,14.88%,Apr 28 AMC,3.63M,80.98,2.07%,2.97%,-26.37%,"

","1,803,188",0.91%,TER,-0.0446
GE HealthCare Technologies Inc,Healthcare,Medical Devices,USA,NASD,"NDX, S&P 500",15.04,4.76,0.31%,457.84M,2.80%,32.75B,15.56,4.60,-0.14%,456.47M,5.05%,2.18B,2.86,0.92,84.21%,1.49%,-19.99%,19.80B,1.65,-10.09%,-1.83%,1.37,-13.23%,20.07,3.56,13.86%,6.64%,6.81M,-10.42%,5.40,13.24,5.25%,26.32%,57.65,94.80,-8.51%,0.08 (0.12%),23.84,5.31%,13.43%,-24.55%,1.31,0.13 (0.18%),0.72,3.43%,41.57%,24.08%,2.23,"Apr 25, 2025",0.94,38.51%,14.88%,52.68,1.32%,2.48%,53000,1.00,1.55%,11.03%,1.62,86.65,Yes / Yes,0.77,50.81%,2.88%,0.56,71.15,2.52%,10.53%,2.73%,Apr 30 BMO,4.99M,71.53,0.92%,1.25%,-12.95%,"

","2,807,782",0.53%,GEHC,-0.0014000000000000002
"Nike, Inc",Consumer Cyclical,Footwear & Accessories,USA,NYSE,"DJIA, S&P 500",20.44,3.01,21.57%,1.18B,2.43%,90.69B,31.66,1.94,-0.10%,1.16B,6.78%,4.51B,-,0.12,68.26%,4.17%,-23.22%,47.91B,1.89,-45.98%,3.92%,2.42,-20.62%,9.48,6.48,-9.06%,12.00%,48.32M,-33.04%,7.04,8.73,-13.07%,31.93%,52.28,98.04,-18.81%,1.51 (2.46%),17.08,8.40%,18.45%,-37.33%,1.22,1.54 (2.51%),1.52,5.90%,43.38%,17.52%,2.02,"Jun 02, 2025",2.19,-12.85%,9.93%,52.13,3.09%,2.60%,79400,0.85,-7.11%,9.41%,2.27,73.05,Yes / Yes,0.74,-30.15%,38.91%,0.61,61.78,2.27%,79.58%,-9.20%,Mar 20 AMC,19.97M,61.44,1.57%,2.00%,-16.64%,"

","12,240,869",-0.55%,NKE,-0.001
