ticker,company_name,amount_authorized,amount_formatted,market_cap,market_cap_formatted,announcement_date,size_category,impact_level,source,scraped_at,url
XOM,Exxon Mobil Corp.,4963788702,$4.96B,451179445257,$451.18B,2025-08-06,Large,HIGH,TipRanks_API,2025-08-12T13:47:23.740862,https://www.tipranks.com/calendars/stock-buybacks
REGN,Regeneron Pharmaceuticals,1065500417,$1.07B,57862784189,$57.86B,2025-08-07,Large,HIGH,TipRanks_API,2025-08-12T13:47:23.740355,https://www.tipranks.com/calendars/stock-buybacks
LLY,Eli Lilly And Company,692322480,$692.3M,601208213809,$601.21B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740415,https://www.tipranks.com/calendars/stock-buybacks
XYZ,Block Inc.,692185120,$692.2M,44518062982,$44.52B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740698,https://www.tipranks.com/calendars/stock-buybacks
EXPE,Expedia,626709880,$626.7M,23831333366,$23.83B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740752,https://www.tipranks.com/calendars/stock-buybacks
EOG,EOG Resources Inc,602181293,$602.2M,63793867815,$63.79B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740421,https://www.tipranks.com/calendars/stock-buybacks
GILD,Gilead Sciences,587176310,$587.2M,149480006922,$149.48B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740503,https://www.tipranks.com/calendars/stock-buybacks
MCD,McDonald's Corporation,506160127,$506.2M,217192634212,$217.19B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740372,https://www.tipranks.com/calendars/stock-buybacks
CEG,Constellation Energy Corporation,403999987,$404.0M,103559322204,$103.56B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740808,https://www.tipranks.com/calendars/stock-buybacks
DBX,Dropbox,399181200,$399.2M,7555065803,$7.56B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740836,https://www.tipranks.com/calendars/stock-buybacks
TRGP,Targa Resources Corp.,324500395,$324.5M,35745520663,$35.75B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740663,https://www.tipranks.com/calendars/stock-buybacks
RL,Ralph Lauren,323332514,$323.3M,17484345202,$17.48B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740594,https://www.tipranks.com/calendars/stock-buybacks
LNG,Cheniere Energy Inc.,306135984,$306.1M,50557654878,$50.56B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740394,https://www.tipranks.com/calendars/stock-buybacks
AKAM,Akamai Technologies,299999975,$300.0M,10124452259,$10.12B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740819,https://www.tipranks.com/calendars/stock-buybacks
TTD,Trade Desk,255612560,$255.6M,25999539991,$26.00B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740715,https://www.tipranks.com/calendars/stock-buybacks
USFD,Us Foods Holding Corp.,249968360,$250.0M,17624181597,$17.62B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740705,https://www.tipranks.com/calendars/stock-buybacks
OC,Owens Corning,223274877,$223.3M,11874277114,$11.87B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740379,https://www.tipranks.com/calendars/stock-buybacks
ROIV,Roivant Sciences Ltd.,205175494,$205.2M,7593434092,$7.59B,2025-08-11,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740306,https://www.tipranks.com/calendars/stock-buybacks
TWLO,Twilio Inc,176760570,$176.8M,14183403191,$14.18B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740825,https://www.tipranks.com/calendars/stock-buybacks
VTRS,"Viatris, Inc.",175021551,$175.0M,11495498213,$11.50B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740587,https://www.tipranks.com/calendars/stock-buybacks
ESNT,Essent Group Ltd,171465919,$171.5M,6029280643,$6.03B,2025-08-08,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740340,https://www.tipranks.com/calendars/stock-buybacks
EPAM,Epam Systems,164787370,$164.8M,8454791238,$8.45B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740432,https://www.tipranks.com/calendars/stock-buybacks
WYNN,Wynn Resorts Limited,162061306,$162.1M,11294970384,$11.29B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740681,https://www.tipranks.com/calendars/stock-buybacks
MSI,Motorola Solutions,150458222,$150.5M,76794400734,$76.79B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740580,https://www.tipranks.com/calendars/stock-buybacks
CROX,Crocs,133273086,$133.3M,4181504884,$4.18B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740408,https://www.tipranks.com/calendars/stock-buybacks
LAMR,Lamar Advertising Co,131557386.00000001,$131.6M,11638124654,$11.64B,2025-08-08,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740323,https://www.tipranks.com/calendars/stock-buybacks
DOCS,"Doximity, Inc.",122331047,$122.3M,11588005826,$11.59B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740737,https://www.tipranks.com/calendars/stock-buybacks
CART,Maplebear Inc.,110662350,$110.7M,13638200573,$13.64B,2025-08-07,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740849,https://www.tipranks.com/calendars/stock-buybacks
TROW,T. Rowe Price Group,110444617,$110.4M,23129422628,$23.13B,2025-08-06,Medium,MEDIUM,TipRanks_API,2025-08-12T13:47:23.740855,https://www.tipranks.com/calendars/stock-buybacks
SGI,Somnigroup International Inc.,94949230,$94.9M,16008164075,$16.01B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740772,https://www.tipranks.com/calendars/stock-buybacks
POST,Post Holdings Inc. Common Stoc,62089535,$62.1M,5804105335,$5.80B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740765,https://www.tipranks.com/calendars/stock-buybacks
IBP,Installed Building Products,57473869,$57.5M,6892810034,$6.89B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740688,https://www.tipranks.com/calendars/stock-buybacks
PINS,Pinterest,53432168,$53.4M,23088809910,$23.09B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740730,https://www.tipranks.com/calendars/stock-buybacks
NXST,Nexstar Media Group,49829824,$49.8M,5883381550,$5.88B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740758,https://www.tipranks.com/calendars/stock-buybacks
PODD,Insulet,30087210,$30.1M,21458459303,$21.46B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740557,https://www.tipranks.com/calendars/stock-buybacks
SEZL,Sezzle Inc.,28236233,$28.2M,2970588576,$2.97B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740842,https://www.tipranks.com/calendars/stock-buybacks
VCTR,Victory Capital Holdings,21374630,$21.4M,4740951904,$4.74B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740792,https://www.tipranks.com/calendars/stock-buybacks
TXRH,Texas Roadhouse,9852554,$9.9M,11619553233,$11.62B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740779,https://www.tipranks.com/calendars/stock-buybacks
PAGP,Plains GP Holdings LP,8000000,$8.0M,14372478383,$14.37B,2025-08-08,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740348,https://www.tipranks.com/calendars/stock-buybacks
PAA,Plains All American Pipeline,7503179,$7.5M,12455521048,$12.46B,2025-08-08,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740332,https://www.tipranks.com/calendars/stock-buybacks
MTSI,Macom Technology Solutions,1424018,$1.4M,8813676225,$8.81B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740572,https://www.tipranks.com/calendars/stock-buybacks
LYV,Live Nation Entertainment,1264913,$1.3M,35801788615,$35.80B,2025-08-07,Small,LOW,TipRanks_API,2025-08-12T13:47:23.740565,https://www.tipranks.com/calendars/stock-buybacks
