ticker,company_name,announcement_date,amount_authorized,source,url,scraped_at
GDG,GDGeneral Dynamics,2025-07-25,2910000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601153
LWL,LWLamb Weston Holdings,2025-07-25,100680000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601228
ENPHE,ENPHEnphase Energy Inc,2025-07-25,29990000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601244
PRGP,"PRGProg Holdings, Inc.",2025-07-25,25650000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601260
ARRA,ARRArmour Residential,2025-07-25,10040000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601287
CHDNC,CHDNChurchill Downs,2025-07-25,250420000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601301
CSXCS,CSXCSX Corporation,2025-07-25,401820000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601314
GGGG,GGGGraco Inc,2025-07-25,122690000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601328
LIIL,LIILennox International,2025-07-25,209620000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601341
NEEN,NEENextEra Energy Inc.,2025-07-25,962.26,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601355
JOES,JOESt. Joe Co,2025-07-25,10510000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601442
URIU,URIUnited Rentals,2025-07-25,417360000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601449
TNLT,TNLTravel + Leisure Co.,2025-07-25,70000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601455
TMHCT,TMHCTaylor Morrison Home,2025-07-25,100430000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601460
TMUST,Mobile US,2025-07-25,2470000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601465
HLTH,HLTHilton Worldwide Holdings Inc.,2025-07-25,755610000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601470
GEVGE,Vernova Inc.,2025-07-25,379090000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601477
CALMC,CALMCal-maine Foods,2025-07-25,50000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601482
EFXE,EFXEquifax,2025-07-25,129060000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601487
GMG,GMGeneral Motors Company,2025-07-25,211860000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601492
GPCG,GPCGenuine Parts,2025-07-25,16900000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601497
LMTL,LMTLockheed Martin,2025-07-25,500030000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601502
MSCIM,MSCIMSCI Inc,2025-07-25,132220000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601507
PEGAP,PEGAPegasystems,2025-07-25,142480000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601511
PNRP,PNRPentair,2025-07-25,80690000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601516
PHMP,PHMPultegroup,2025-07-25,300010000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601521
IQVIQ,IQVIQVIA Holdings,2025-07-25,613920000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601525
KREFK,KREFKkr Reit,2025-07-25,19990000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601530
BKRB,BKRBaker Hughes Company,2025-07-25,197120000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601534
CSGPC,CSGPCoStar Group,2025-07-25,46430000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601539
DHID,.R. Horton Inc,2025-07-25,1200000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601544
IPGI,IPGInterpublic Group,2025-07-25,98150000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601548
ISRGI,ISRGIntuitive Surgical,2025-07-25,180960000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601557
MLIM,"MLIMueller Industries, Inc.",2025-07-25,216.47,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601562
DGXQ,DGXQuest Diagnostics,2025-07-25,589.24,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601567
RRCR,RRCRange Resources,2025-07-25,52840000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601572
WFRDW,WFRDWeatherford International Plc,2025-07-25,33770000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601577
SYFS,SYFSynchrony Financial,2025-07-25,502940000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601582
CALXC,CALXCalix Inc,2025-07-25,33540000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601587
MEDPM,MEDPMedpace Holdings Inc,2025-07-25,518539999.99999994,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601591
CLFC,CLFCleveland-Cliffs,2025-07-25,126.16,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601598
MMM,MMM3M Company,2025-07-25,921950000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601603
AXPA,AXPAmerican Express Company,2025-07-25,1380000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601607
ALVA,ALVAutoliv,2025-07-25,50940000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601612
NFLXN,NFLXNetflix,2025-07-25,1620000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601617
MMCM,MMCMarsh & Mclennan,2025-07-25,300000000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601621
TRVT,TRVTravelers Companies Inc,2025-07-25,491330000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601626
IIINI,"IIINInsteel Industries, Inc.",2025-07-25,223.82,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601631
SNAS,SNASnap-on Inc,2025-07-25,79310000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601636
TCBIT,TCBITexas Capital Bancshares,2025-07-25,20820000.0,TipRanks_Table_Direct,https://www.tipranks.com/calendars/stock-buybacks,2025-07-25T22:31:24.601641
