ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon,fecha_scan
GPN,81.22000122070312,92.02380952380952,Excellent,21,10.6% → 4.4% → 8.4% → 18.6% → 6.1% → 7.1% → 3.4% → 4.0% → 6.5% → 5.8% → 4.0% → 8.8% → 3.5% → 4.5% → 9.8% → 14.2% → 4.8% → 22.2% → 27.5% → 13.0% → 3.9%,27.517588554660367,Stage 2 Strong,85.0,82.61904761904762,100.0,True,Industrials,19947956224,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.5% | Stage 2 Strong,2025-07-11 10:31:28
LII,617.3800048828125,91.0952380952381,Excellent,21,15.2% → 4.3% → 3.9% → 8.3% → 6.1% → 5.3% → 6.9% → 7.0% → 7.6% → 11.6% → 15.9% → 13.7% → 11.8% → 5.5% → 10.8% → 13.7% → 5.7% → 11.0% → 3.1% → 7.4% → 6.8%,15.911459782593699,Stage 2 Strong,85.0,77.97619047619048,100.0,True,Industrials,22453123072,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.9% | Stage 2 Strong,2025-07-11 10:31:28
QCOM,159.08999633789062,90.91304347826087,Excellent,23,22.9% → 4.1% → 10.4% → 7.1% → 6.6% → 5.3% → 8.6% → 8.2% → 12.4% → 8.0% → 7.4% → 7.3% → 4.2% → 6.6% → 4.5% → 6.6% → 14.2% → 7.0% → 25.2% → 14.3% → 9.7% → 9.2% → 4.7%,25.187340637621535,Stage 2 Strong,85.0,77.06521739130434,100.0,True,Technology,174680817664,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 25.2% | Stage 2 Strong,2025-07-11 10:31:28
ON,59.52000045776367,90.89583333333334,Excellent,24,17.4% → 6.2% → 15.6% → 8.8% → 9.5% → 11.5% → 10.0% → 12.4% → 5.9% → 13.0% → 9.4% → 9.4% → 20.7% → 5.8% → 12.1% → 13.1% → 28.0% → 32.9% → 20.0% → 12.0% → 7.0% → 10.7% → 6.4% → 6.0%,32.871972775074184,Stage 2 Strong,85.0,76.97916666666667,100.0,True,Technology,25625978880,VCP 24 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 32.9% | Stage 2 Strong,2025-07-11 10:31:28
GILD,114.54000091552734,90.85714285714286,Excellent,7,12.1% → 15.2% → 13.2% → 8.1% → 3.4% → 5.3% → 4.9%,15.18954375556315,Stage 2 Strong,85.0,76.78571428571429,100.0,True,Healthcare,144115384320,VCP 7 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.2% | Stage 2 Strong,2025-07-11 10:31:28
HES,152.0399932861328,90.73529411764706,Excellent,17,15.5% → 11.9% → 6.3% → 4.9% → 3.8% → 5.2% → 3.4% → 15.1% → 5.1% → 7.2% → 5.7% → 8.0% → 5.5% → 23.1% → 6.2% → 5.3% → 6.7%,23.0997665921136,Stage 2 Strong,85.0,76.17647058823529,100.0,True,Energy,47383109632,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.1% | Stage 2 Strong,2025-07-11 10:31:28
MRK,84.0199966430664,90.5,Excellent,19,14.0% → 6.6% → 5.6% → 6.1% → 11.6% → 8.6% → 5.5% → 4.4% → 4.8% → 6.2% → 19.1% → 4.5% → 4.6% → 8.7% → 15.9% → 11.7% → 9.8% → 4.8% → 5.5%,19.081377537008876,Stage 2 Strong,85.0,75.0,100.0,True,Healthcare,211758120960,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.1% | Stage 2 Strong,2025-07-11 10:31:28
AMAT,198.02999877929688,90.47727272727273,Excellent,22,19.4% → 18.4% → 4.5% → 10.6% → 16.6% → 6.4% → 14.1% → 11.4% → 8.9% → 4.1% → 7.8% → 15.2% → 6.5% → 8.6% → 16.2% → 7.0% → 21.3% → 14.8% → 5.2% → 3.3% → 11.5% → 7.3%,21.29000308990579,Stage 2 Strong,85.0,74.88636363636364,100.0,True,Technology,161065910272,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.3% | Stage 2 Strong,2025-07-11 10:31:28
ALLE,151.52999877929688,90.45454545454545,Excellent,22,11.3% → 3.5% → 4.5% → 4.0% → 12.2% → 6.2% → 3.1% → 3.9% → 8.0% → 6.5% → 3.6% → 6.3% → 7.5% → 5.9% → 9.1% → 3.7% → 12.4% → 4.6% → 5.5% → 3.7% → 3.8% → 5.1%,12.438972869087777,Stage 2 Strong,85.0,74.77272727272727,100.0,True,Industrials,13166775296,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 12.4% | Stage 2 Strong,2025-07-11 10:31:28
CAT,408.3299865722656,90.40625,Excellent,16,13.0% → 8.5% → 4.1% → 4.1% → 3.4% → 6.3% → 9.7% → 4.7% → 12.8% → 5.7% → 22.2% → 6.6% → 23.0% → 6.2% → 5.4% → 3.9%,23.02819284753543,Stage 2 Strong,85.0,74.53125,100.0,True,Industrials,194980429824,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.0% | Stage 2 Strong,2025-07-11 10:31:28
PSX,134.38999938964844,90.38888888888889,Excellent,18,14.5% → 5.0% → 12.1% → 3.8% → 3.8% → 14.8% → 4.1% → 21.1% → 4.4% → 7.5% → 6.9% → 5.6% → 10.9% → 5.6% → 30.1% → 14.0% → 12.5% → 5.4%,30.110580642423884,Stage 2 Strong,85.0,74.44444444444444,100.0,True,Energy,56383328256,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.1% | Stage 2 Strong,2025-07-11 10:31:28
HSIC,74.52999877929688,90.375,Excellent,20,12.9% → 9.7% → 6.1% → 6.5% → 4.0% → 8.7% → 6.3% → 8.9% → 12.7% → 6.5% → 4.9% → 5.3% → 11.2% → 14.3% → 22.2% → 6.8% → 3.9% → 6.0% → 4.7% → 8.1%,22.18938719191039,Stage 2 Strong,85.0,74.375,100.0,True,Healthcare,9363054592,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 22.2% | Stage 2 Strong,2025-07-11 10:31:28
CDNS,322.6600036621094,90.27272727272728,Excellent,22,14.0% → 10.9% → 14.6% → 5.8% → 7.0% → 13.5% → 7.2% → 4.4% → 8.0% → 6.7% → 4.7% → 8.4% → 12.3% → 4.9% → 5.8% → 23.5% → 7.9% → 16.6% → 13.9% → 6.9% → 14.5% → 6.8%,23.52256613021348,Stage 2 Strong,85.0,73.86363636363636,100.0,True,Technology,88099725312,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.5% | Stage 2 Strong,2025-07-11 10:31:28
CVX,154.1699981689453,90.26666666666667,Excellent,15,13.6% → 9.8% → 5.7% → 3.5% → 3.1% → 14.7% → 4.1% → 7.0% → 4.5% → 7.7% → 5.3% → 21.9% → 5.6% → 4.5% → 5.8%,21.851331358094317,Stage 2 Strong,85.0,73.83333333333333,100.0,True,Energy,269063651328,VCP 15 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.9% | Stage 2 Strong,2025-07-11 10:31:28
ANET,106.29000091552734,90.26190476190476,Excellent,21,19.8% → 4.4% → 12.7% → 4.9% → 9.6% → 5.5% → 14.7% → 6.4% → 8.5% → 4.8% → 9.3% → 26.9% → 8.1% → 37.2% → 5.8% → 15.7% → 26.8% → 14.2% → 10.1% → 10.0% → 10.4%,37.19527422663721,Stage 2 Strong,85.0,73.80952380952381,100.0,True,Technology,133504483328,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 37.2% | Stage 2 Strong,2025-07-11 10:31:28
FDX,238.72999572753906,90.26086956521739,Excellent,23,10.4% → 4.3% → 6.7% → 17.7% → 6.7% → 3.4% → 3.2% → 4.1% → 10.0% → 5.4% → 10.2% → 5.6% → 4.6% → 12.5% → 9.3% → 9.1% → 13.2% → 20.9% → 12.2% → 6.5% → 4.4% → 10.1% → 3.6%,20.926259122018458,Stage 2 Strong,85.0,73.80434782608695,100.0,True,Industrials,57736372224,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 20.9% | Stage 2 Strong,2025-07-11 10:31:28
MLM,564.3800048828125,90.21428571428572,Excellent,21,13.5% → 13.0% → 4.5% → 7.2% → 4.5% → 5.8% → 9.7% → 6.4% → 13.7% → 4.1% → 3.4% → 5.2% → 11.9% → 16.8% → 4.4% → 4.9% → 10.9% → 5.7% → 4.1% → 6.2% → 4.3%,16.76988044760249,Stage 2 Strong,85.0,73.57142857142857,100.0,True,Basic Materials,34023874560,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.8% | Stage 2 Strong,2025-07-11 10:31:28
BA,226.08999633789062,90.20588235294117,Excellent,17,17.5% → 4.3% → 5.9% → 13.5% → 5.0% → 8.0% → 9.7% → 13.1% → 4.4% → 9.8% → 9.5% → 22.9% → 30.1% → 3.5% → 4.7% → 3.6% → 10.7%,30.108454908539112,Stage 2 Strong,85.0,73.52941176470588,100.0,True,Industrials,170473209856,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.1% | Stage 2 Strong,2025-07-11 10:31:28
HST,16.579999923706055,90.19565217391305,Excellent,23,12.3% → 3.5% → 9.1% → 8.5% → 5.8% → 6.3% → 3.9% → 9.1% → 3.7% → 10.4% → 6.2% → 4.1% → 8.8% → 4.1% → 7.6% → 5.4% → 14.2% → 16.9% → 14.8% → 5.7% → 4.1% → 10.3% → 7.6%,16.870744182208075,Stage 2 Strong,85.0,73.47826086956522,100.0,True,Real Estate,11967991808,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.9% | Stage 2 Strong,2025-07-11 10:31:28
